SITE,URL
Clima Tempo,https://www.climatempo.com.br/previsao-do-tempo/cidade/2983/ibiruba-rs
Tempo Agora,http://www.tempoagora.com.br/previsao-do-tempo/rs/Ibiruba/
Clic Tempo,http://tempo.clic.com.br/rs/ibiruba
Previsão Aquaeris,http://previsao.aquaeris.com.br/cliente/impprev5dias/3/0/5004
Accuweather,https://www.accuweather.com/pt/br/ibiruba/40986/daily-weather-forecast/40986
Cptec,http://tempo.cptec.inpe.br/cidades/tempo/2329
Centro de Previsão de Tempo e Estudos Climáticos,https://www.cptec.inpe.br/rs/ibiruba
Jornal Tempo,http://jornaldotempo.uol.com.br/previsaodotempo.html/brasil/Ibiruba-RS/
Somar Meteorologia,http://iframe.somarmeteorologia.com.br/3tentos/gera-tentos.php?cid=Ibiruba-RS
Clima do Brasil,https://www.climadobrasil.com.br/estado-do-rio-grande-do-sul/ibiruba/detalhe?gclid=EAIaIQobChMIq72x3Ov42gIVhYiRCh2KvAOREAAYAiAAEgIgn_D_BwE
G1,https://g1.globo.com/previsao-do-tempo/rs/ibiruba.ghtml
Tempo Folha,http://tempo.folha.uol.com.br/rs/ibiruba
Tempo.com,://www.tempo.com/ibiruba.htm
Meteotrend,http://pt.meteotrend.com/forecast/br/ibiruba/
Tempo.com,https://www.tempo.com/ibiruba.htm
Clima Agora,https://climaagora.com.br/clima-agora/rs-ibiruba
Web Calendar,http://www.web-calendar.org/pt/world/south-america/brazil/ibiruba--23?menu=weather
YR,https://www.yr.no/place/Brazil/Rio_Grande_do_Sul/Ibirub%C3%A1/
Cotrisoja,http://www.cotrisoja.com.br/previsao-do-tempo/
Clima247,http://clima247.com.br/brasil/rio-grande-do-sul/clima-ibiruba/
Freemeteo,https://freemeteo.com.pt/mobile/tempo/ibiruba/7-dias/lista/?gid=3461559&language=portuguese&country=brazil
Previsão Aquaeris,http://previsao.aquaeris.com.br/cliente/impprev5dias/3/0/5004
El tiempo.es,https://pt.eltiempo.es/ibiruba.html?v=por_hora
Meteoblue,https://www.meteoblue.com/pt/tempo/previsao/semana/ibirub%C3%A1_brasil_3461559
Viewweather,http://br.viewweather.com/w556320-previsao-do-tempo-para-ibiruba-estado_do_rio_grande_do_sul.html
Emater,http://www.emater.tche.br/site/portal-do-tempo.php?origem=&cd_localidade_previsao=350#.WvMIAaQvyJA
Sensação Térmica,http://www.sensacaotermica.com.br/ibiruba-rs/
Meteocast,https://pt.meteocast.net/forecast/br/ibiruba/
Agrolink,https://www.agrolink.com.br/regional/rs/ibiruba/tempo
Weather,https://weather.com/pt-BR/clima/horaria/l/BRXX2016:1:BR
